n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,25,16,astar_manhattan,True,0.000962,13,35,64,2,4,2.771429,29,35,64
3,25,16,fast_downward_lmcut,True,0.013719,13,21,57,,,,,,
3,25,17,astar_manhattan,True,0.001089,9,15,28,2,4,2.733333,13,15,28
3,25,17,fast_downward_lmcut,True,0.011166,9,10,25,,,,,,
3,25,18,astar_manhattan,True,0.001200,9,16,31,2,4,2.812500,15,16,31
3,25,18,fast_downward_lmcut,True,0.009787,9,10,25,,,,,,
3,25,19,astar_manhattan,True,0.018766,9,10,21,2,4,2.900000,11,10,21
3,25,19,fast_downward_lmcut,True,0.009921,9,11,29,,,,,,
3,30,0,astar_manhattan,True,0.005027,14,98,163,2,4,2.683673,65,98,163
3,30,0,fast_downward_lmcut,True,0.021234,14,74,195,,,,,,
3,30,1,astar_manhattan,True,0.035121,22,773,1232,2,4,2.659767,454,773,1227
3,30,1,fast_downward_lmcut,True,0.079392,22,403,1084,,,,,,
3,30,2,astar_manhattan,True,0.000763,12,33,59,2,4,2.727273,26,33,59
3,30,2,fast_downward_lmcut,True,0.013784,12,21,56,,,,,,
3,30,3,astar_manhattan,True,0.001659,14,45,78,2,4,2.844444,33,45,78
3,30,3,fast_downward_lmcut,True,0.017347,14,20,55,,,,,,
3,30,4,astar_manhattan,True,0.000640,8,8,16,2,4,2.750000,8,8,16
3,30,4,fast_downward_lmcut,True,0.010114,8,9,22,,,,,,
3,30,5,astar_manhattan,True,0.005279,12,78,132,2,4,2.730769,54,78,132
3,30,5,fast_downward_lmcut,True,0.014683,12,44,121,,,,,,
3,30,6,astar_manhattan,True,0.000964,8,15,27,2,4,2.800000,12,15,27
3,30,6,fast_downward_lmcut,True,0.009809,8,9,22,,,,,,
3,30,7,astar_manhattan,True,0.000730,8,10,21,2,4,2.900000,11,10,21
3,30,7,fast_downward_lmcut,True,0.009375,8,9,24,,,,,,
3,30,8,astar_manhattan,True,0.000517,6,6,11,2,3,2.500000,5,6,11
3,30,8,fast_downward_lmcut,True,0.011948,6,7,15,,,,,,
3,30,9,astar_manhattan,True,0.001046,8,11,23,2,4,2.909091,12,11,23
3,30,9,fast_downward_lmcut,True,0.009944,8,10,27,,,,,,
3,30,10,astar_manhattan,True,0.001367,10,20,36,2,4,2.800000,17,20,36
3,30,10,fast_downward_lmcut,True,0.011871,10,11,31,,,,,,
3,30,11,astar_manhattan,True,0.000865,10,14,27,2,4,2.785714,13,14,27
3,30,11,fast_downward_lmcut,True,0.011133,10,11,29,,,,,,
3,30,12,astar_manhattan,True,0.002767,10,28,52,2,4,2.785714,24,28,52
